time,open,high,low,close,volume
2023-01-08 17:00:00-05:00,1.0642,1.0642,1.06412,1.06412,43.0
2023-01-08 17:05:00-05:00,1.06412,1.06415,1.06395,1.064,43.0
2023-01-08 17:10:00-05:00,1.06415,1.06416,1.0641,1.0641,33.0
2023-01-08 17:15:00-05:00,1.0641,1.06411,1.06409,1.0641,31.0
2023-01-08 17:20:00-05:00,1.0641,1.06411,1.06409,1.0641,24.0
2023-01-08 17:25:00-05:00,1.0641,1.06412,1.06408,1.06412,7.0
2023-01-08 17:30:00-05:00,1.06408,1.0642,1.06394,1.06408,310.0
2023-01-08 17:35:00-05:00,1.06405,1.06405,1.06401,1.06401,10.0
2023-01-08 17:40:00-05:00,1.06403,1.0641,1.064,1.0641,66.0
